ID;SAFRA;CEP;IDADE;GENERO;RENDA;SCORE_F1;SCORE_F2;IND_BOM
1;201907;92010190;37;M;40000.0;528.0;719.0;1
2;201909;65090650;36;M;19500.0;454.0;717.0;1
3;201908;13482783;43;F;1200.0;756.0;827.0;1
4;201905;60541704;35;M;1280.0;2.0;607.0;0
5;201906;69086129;27;M;7058.0;517.0;738.0;0
6;201908;86701450;30;F;1650.0;694.0;657.0;1
7;201907;5786160;61;M;3000.0;278.0;739.0;1
8;201907;75828000;44;M;5000.0;907.0;760.0;1
9;201905;6186115;28;M;5200.0;830.0;658.0;1
10;201907;68500040;35;M;1500.0;415.0;511.0;0
11;201908;68503290;31;F;1237.31;296.0;608.0;0
12;201908;30492025;43;M;4800.0;372.0;682.0;0
13;201909;96080080;36;M;12000.0;721.0;695.0;1
14;201907;72236006;34;M;3200.0;702.0;871.0;1
15;201908;65939000;46;M;4000.0;350.0;593.0;0
16;201905;99577000;35;M;4000.0;590.0;841.0;1
17;201909;35540000;43;M;1380.0;635.0;540.0;0
18;201908;74936150;35;M;2800.0;492.0;637.0;1
19;201907;4546003;52;M;5500.0;682.0;742.0;1
20;201906;74223055;31;M;12000.0;856.0;597.0;1
21;201908;92412222;35;F;5000.0;789.0;800.0;0
22;201908;61805765;36;M;1852.22;693.0;526.0;0
23;201907;64018070;37;F;1900.0;71.0;478.0;0
24;201905;48605240;38;M;5801.35;775.0;652.0;1
25;201907;85440000;41;M;2600.0;755.0;679.0;1
26;201906;96230000;40;F;3500.0;159.0;571.0;1
27;201907;32240204;53;M;2300.0;652.0;672.0;1
28;201906;4131060;36;M;4080.0;621.0;543.0;0
29;201908;98802314;37;M;3000.0;263.0;733.0;0
30;201905;97573520;36;M;4016.0;526.0;566.0;1
31;201908;1527050;36;M;6100.0;626.0;645.0;1
32;201909;93520040;37;F;3500.0;845.0;552.0;0
33;201907;79550000;36;F;4200.0;372.0;652.0;1
34;201906;32010270;44;M;9000.0;409.0;636.0;1
35;201907;76970000;30;F;1400.0;2.0;704.0;1
36;201908;88200000;45;M;15000.0;615.0;791.0;1
37;201909;60714354;35;M;1450.0;668.0;704.0;1
38;201908;72302513;26;F;4000.0;811.0;780.0;1
39;201909;52140180;45;M;1423.38;353.0;694.0;1
40;201908;75570000;36;F;2000.0;689.0;825.0;1
41;201907;59626250;34;M;2000.0;512.0;670.0;0
42;201908;7261730;38;M;3500.0;395.0;575.0;0
